"Observed Property ID","Observed Property Descritpion","CAS Number","Unit Group","Default Unit","Supports Unit Conversion","EMS Code","Analysis Type","Result Type","Method ID","Method Name","Method Description","Method Source"
"Alkalinity Diss. 4.5 (fl. conc.)","Major Ions; EMS code: 1102",NA,"Concentration","mg/L",TRUE,"1102","CHEMICAL","NUMERIC","X330","Meter","The conductance (= conductivity) of a sample is measured by use of a self-contained conductivity meter. pH is measured with a combined glass/reference (Ag/AgCl) electrode.  For both conductivity and pH the measurements are made at 25 C, or the results are temperature-corrected to 25 C.  Note that laboratory and field measurements are distinguished by the EMS Analytical Agency codes.  Ex situ and in situ measurements are distinguished by the computer codes.","EMS Migration"
"Alkalinity Total 4.5 (as CaCO3) (fl. conc.)","Major Ions; EMS code: 0102",NA,"Concentration","mg/L",TRUE,"0102","CHEMICAL","NUMERIC","X330","Meter","The conductance (= conductivity) of a sample is measured by use of a self-contained conductivity meter. pH is measured with a combined glass/reference (Ag/AgCl) electrode.  For both conductivity and pH the measurements are made at 25 C, or the results are temperature-corrected to 25 C.  Note that laboratory and field measurements are distinguished by the EMS Analytical Agency codes.  Ex situ and in situ measurements are distinguished by the computer codes.","EMS Migration"
"Residue: Non-filterable (TSS) (fl. conc.)","Physical Properties; EMS code: 0008",NA,"Concentration","mg/L",TRUE,"0008","PHYSICAL","NUMERIC","X332","Grav: Whole bottle 105C","The entire sample is filtered, with rinsing, through a pre-weighed glass fibre filter discs (Whatman 934-AH, or equivalent), and the residue on the filter is dried to constant weight at 103 - 105 C.  The increase in weight of the filter is reported as nonfilterable residue.  The filtrate may be used for residue, filterable.","EMS Migration"
"Residue: Total (Total Solids) (fl. conc.)","Physical Properties; EMS code: 0005",NA,"Concentration","mg/L",TRUE,"0005","PHYSICAL","NUMERIC","X333","Gravimetric: 180C","A well mixed sample is evaporated in a pre-weighed dish and dried to constant weight in the oven at 180 C.  The increase in weight over the empty dish represents the total solids.","EMS Migration"
"Silica Reactive (fl. conc.)","Nutrients; EMS code: 0120","7631-86-9","Concentration","mg/L",TRUE,"0120","CHEMICAL","NUMERIC","X338","Auto Ascorb.red.het.blue","Ammonium molybdate at pH 1.2 reacts with silica to form yellow molybdosilicic acid which is reduced by ascorbic acid to produce an intensely blue heteropoly acid.  The absorbance is read at 600 nm.","EMS Migration"
"Silica Reactive (fl. conc.)","Nutrients; EMS code: 0120","7631-86-9","Concentration","mg/L",TRUE,"0120","CHEMICAL","NUMERIC","X339","Auto molybdosilicate","Ammonium molybdate at pH 1.2 reacts with silica to form yellow molybdosilicic acid.  The absorbance is read at 410 nm.","EMS Migration"
"Surfactants (fl. conc.)","Organics; EMS code: 0122",NA,"Concentration","mg/L",TRUE,"0122","CHEMICAL","NUMERIC","X341","Methylene blue:colorimetric(Anionic)","The sample, made just acid to phenolphthalein and treated with an excess of methylene blue, is extracted three times with chloroform (CHCl3).  The combined chloroform extracts are washed with acidic buffer solution, dried and made to volume for colorimetric measurement at 652nm.  The intensity of the resulting blue color in the organic phase is a measure of MBAS.  Linear alkylbezene sulfonate (LAS) is the most widely used anionic surfactant and is used to standardize the MBAS method.  This method is a measure of anionic surfactants.","EMS Migration"
"Uranium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: U--D","7440-61-1","Concentration","mg/L",TRUE,"U--D","CHEMICAL","NUMERIC","X343","Laser-induced F","Filtered sample; no acid digestion.  Uranyl ion, complexed with pyrophosphate, is excited at 337nm with a pulsed nitrogen laser and the resulting fluorescence at 494, 516 or 540 nm is monitored.  The method of standard additions is used to minimize interferences from matrix effects.","EMS Migration"
"Uranium Total (fl. conc.)","Metals - Total; EMS code: U--T","7440-61-1","Concentration","mg/L",TRUE,"U--T","CHEMICAL","NUMERIC","X344","HNO3 Dig:Laser-induced fluorescen","Unfiltered sample; HNO3 digestion.  Uranyl ion, complexed with pyrophosphate, is excited at 337 nm with a pulsed nitrogen laser and the resulting fluorescence at 494, 516 or 540 nm is monitored.  The method of standard additions is used to minimize interferences from matrix effects.","EMS Migration"
"Selenium Total (fl. conc.)","Metals - Total; EMS code: SE-T","7782-49-2","Concentration","mg/L",TRUE,"SE-T","CHEMICAL","NUMERIC","X345","FA:HCL:HVAAS","Samples are field-acidified with HCl; HCl digestion; analysis by HVAAS.","EMS Migration"
"Mercury Total (fl. conc.)","Metals - Total; EMS code: HG-T",NA,"Concentration","ng/L",TRUE,"HG-T","CHEMICAL","NUMERIC","X346","FA:HNO3/K2Cr2O7:CVAA","The unfiltered field-acidified water sample undergoes a strongly oxidizing digestion.  The sample is then analyzed by CVAAS.","EMS Migration"
"Mercury Dissolved (fl. conc.)","Metals - Dissolved; EMS code: HG-D",NA,"Concentration","ng/L",TRUE,"HG-D","CHEMICAL","NUMERIC","X347","FF:FA:HNO3/K2Cr2O7:CVAA","The sample is field filtered (0.45 um) and field acidified (HNO3); strong oxidizing digestion; analysis by CVAA.","EMS Migration"
"Selenium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: SE-D","7782-49-2","Concentration","mg/L",TRUE,"SE-D","CHEMICAL","NUMERIC","X348","FF:FA:HCL:HVAAS","Samples are field-filtered (0.45 um) and field-acidified (HCl); analysis by HVAAS.","EMS Migration"
"Titanium Total (fl. conc.)","Metals - Total; EMS code: TI-T","7440-32-6","Concentration","mg/L",TRUE,"TI-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Bismuth Total (fl. conc.)","Metals - Total; EMS code: BI-T","7440-69-9","Concentration","mg/L",TRUE,"BI-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Copper Total (fl. conc.)","Metals - Total; EMS code: CU-T","7440-50-8","Concentration","mg/L",TRUE,"CU-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Aluminum Total (fl. conc.)","Metals - Total; EMS code: AL-T","7429-90-5","Concentration","mg/L",TRUE,"AL-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Magnesium Total (fl. conc.)","Metals - Total; EMS code: MG-T","7439-95-4","Concentration","mg/L",TRUE,"MG-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Manganese Total (fl. conc.)","Metals - Total; EMS code: MN-T","7439-96-5","Concentration","mg/L",TRUE,"MN-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Strontium Total (fl. conc.)","Metals - Total; EMS code: SR-T","7440-24-6","Concentration","mg/L",TRUE,"SR-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Molybdenum Total (fl. conc.)","Metals - Total; EMS code: MO-T","7439-98-7","Concentration","mg/L",TRUE,"MO-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Vanadium Total (fl. conc.)","Metals - Total; EMS code: V--T","7440-62-2","Concentration","mg/L",TRUE,"V--T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Boron Total (fl. conc.)","Metals - Total; EMS code: B--T","7440-42-8","Concentration","mg/L",TRUE,"B--T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Sodium Total (fl. conc.)","Metals - Total; EMS code: NA-T","7440-23-5","Concentration","mg/L",TRUE,"NA-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Chromium Total (fl. conc.)","Metals - Total; EMS code: CR-T","7440-47-3","Concentration","mg/L",TRUE,"CR-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Phosphorus Total (fl. conc.)","Nutrients; EMS code: P--T","7723-14-0","Concentration","mg/L",TRUE,"P--T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Antimony Total (fl. conc.)","Metals - Total; EMS code: SB-T","7440-36-0","Concentration","mg/L",TRUE,"SB-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Tin Total (fl. conc.)","Metals - Total; EMS code: SN-T","7440-31-5","Concentration","mg/L",TRUE,"SN-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Barium Total (fl. conc.)","Metals - Total; EMS code: BA-T","7440-39-3","Concentration","mg/L",TRUE,"BA-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Cobalt Total (fl. conc.)","Metals - Total; EMS code: CO-T","7440-48-4","Concentration","mg/L",TRUE,"CO-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Zinc Total (fl. conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","Concentration","mg/L",TRUE,"ZN-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Silicon Total (fl. conc.)","Metals - Total; EMS code: SI-T","7440-21-3","Concentration","mg/L",TRUE,"SI-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Iron Total (fl. conc.)","Metals - Total; EMS code: FE-T",NA,"Concentration","mg/L",TRUE,"FE-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Sulfur Total (fl. conc.)","EMS code: S--T","7704-34-9","Concentration","mg/L",TRUE,"S--T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Beryllium Total (fl. conc.)","Metals - Total; EMS code: BE-T","7440-41-7","Concentration","mg/L",TRUE,"BE-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Calcium Total (fl. conc.)","Metals - Total; EMS code: CA-T","7440-70-2","Concentration","mg/L",TRUE,"CA-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Thallium Total (fl. conc.)","Metals - Total; EMS code: TL-T","7440-28-0","Concentration","mg/L",TRUE,"TL-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Potassium Total (fl. conc.)","Metals - Total; EMS code: K--T",NA,"Concentration","mg/L",TRUE,"K--T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Nickel Total (fl. conc.)","Metals - Total; EMS code: NI-T","7440-02-0","Concentration","mg/L",TRUE,"NI-T","CHEMICAL","NUMERIC","X349","FA:HNO3:ICP","Samples are field-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Cadmium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CD-D","7440-43-9","Concentration","mg/L",TRUE,"CD-D","CHEMICAL","NUMERIC","X350","FF:FA:HNO3:ICP","Samples are field-filtered (0.45 um); field-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Chromium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CR-D","7440-47-3","Concentration","mg/L",TRUE,"CR-D","CHEMICAL","NUMERIC","X350","FF:FA:HNO3:ICP","Samples are field-filtered (0.45 um); field-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Cobalt Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CO-D","7440-48-4","Concentration","mg/L",TRUE,"CO-D","CHEMICAL","NUMERIC","X350","FF:FA:HNO3:ICP","Samples are field-filtered (0.45 um); field-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Antimony Dissolved (fl. conc.)","Metals - Dissolved; EMS code: SB-D","7440-36-0","Concentration","mg/L",TRUE,"SB-D","CHEMICAL","NUMERIC","X350","FF:FA:HNO3:ICP","Samples are field-filtered (0.45 um); field-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Sodium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: NA-D","7440-23-5","Concentration","mg/L",TRUE,"NA-D","CHEMICAL","NUMERIC","X350","FF:FA:HNO3:ICP","Samples are field-filtered (0.45 um); field-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Molybdenum Dissolved (fl. conc.)","Metals - Dissolved; EMS code: MO-D","7439-98-7","Concentration","mg/L",TRUE,"MO-D","CHEMICAL","NUMERIC","X350","FF:FA:HNO3:ICP","Samples are field-filtered (0.45 um); field-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Calcium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CA-D","7440-70-2","Concentration","mg/L",TRUE,"CA-D","CHEMICAL","NUMERIC","X350","FF:FA:HNO3:ICP","Samples are field-filtered (0.45 um); field-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Magnesium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: MG-D","7439-95-4","Concentration","mg/L",TRUE,"MG-D","CHEMICAL","NUMERIC","X350","FF:FA:HNO3:ICP","Samples are field-filtered (0.45 um); field-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Manganese Dissolved (fl. conc.)","Metals - Dissolved; EMS code: MN-D","7439-96-5","Concentration","mg/L",TRUE,"MN-D","CHEMICAL","NUMERIC","X350","FF:FA:HNO3:ICP","Samples are field-filtered (0.45 um); field-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Antimony Total (fl. conc.)","Metals - Total; EMS code: SB-T","7440-36-0","Concentration","mg/L",TRUE,"SB-T","CHEMICAL","NUMERIC","X351","LA:HNO3:AA","Samples are lab-acidified (HNO3); digested HNO3; analysis by AA.","EMS Migration"
"Copper Total (fl. conc.)","Metals - Total; EMS code: CU-T","7440-50-8","Concentration","mg/L",TRUE,"CU-T","CHEMICAL","NUMERIC","X351","LA:HNO3:AA","Samples are lab-acidified (HNO3); digested HNO3; analysis by AA.","EMS Migration"
"Zinc Total (fl. conc.)","Metals - Total; EMS code: ZN-T","7440-66-6","Concentration","mg/L",TRUE,"ZN-T","CHEMICAL","NUMERIC","X351","LA:HNO3:AA","Samples are lab-acidified (HNO3); digested HNO3; analysis by AA.","EMS Migration"
"Sodium Total (fl. conc.)","Metals - Total; EMS code: NA-T","7440-23-5","Concentration","mg/L",TRUE,"NA-T","CHEMICAL","NUMERIC","X351","LA:HNO3:AA","Samples are lab-acidified (HNO3); digested HNO3; analysis by AA.","EMS Migration"
"Arsenic Total (fl. conc.)","Metals - Total; EMS code: AS-T","7440-38-2","Concentration","mg/L",TRUE,"AS-T","CHEMICAL","NUMERIC","X351","LA:HNO3:AA","Samples are lab-acidified (HNO3); digested HNO3; analysis by AA.","EMS Migration"
"Manganese Total (fl. conc.)","Metals - Total; EMS code: MN-T","7439-96-5","Concentration","mg/L",TRUE,"MN-T","CHEMICAL","NUMERIC","X351","LA:HNO3:AA","Samples are lab-acidified (HNO3); digested HNO3; analysis by AA.","EMS Migration"
"Iron Total (fl. conc.)","Metals - Total; EMS code: FE-T",NA,"Concentration","mg/L",TRUE,"FE-T","CHEMICAL","NUMERIC","X351","LA:HNO3:AA","Samples are lab-acidified (HNO3); digested HNO3; analysis by AA.","EMS Migration"
"Cadmium Total (fl. conc.)","Metals - Total; EMS code: CD-T","7440-43-9","Concentration","mg/L",TRUE,"CD-T","CHEMICAL","NUMERIC","X352","LA:HNO3:AA","Samples are lab-acidified with HNO3; HNO3 digestion; analysis by ICP/AES.","EMS Migration"
"Selenium Total (fl. conc.)","Metals - Total; EMS code: SE-T","7782-49-2","Concentration","mg/L",TRUE,"SE-T","CHEMICAL","NUMERIC","X354","LA:HNO3:HVAAS","Samples are lab-acidified with HNO3; HNO3 digestion; analysis by HVAAS.","EMS Migration"
"Arsenic Total (fl. conc.)","Metals - Total; EMS code: AS-T","7440-38-2","Concentration","mg/L",TRUE,"AS-T","CHEMICAL","NUMERIC","X354","LA:HNO3:HVAAS","Samples are lab-acidified with HNO3; HNO3 digestion; analysis by HVAAS.","EMS Migration"
"Selenium Total (fl. conc.)","Metals - Total; EMS code: SE-T","7782-49-2","Concentration","mg/L",TRUE,"SE-T","CHEMICAL","NUMERIC","X355","LA:HCL:HVAAS","Samples are lab-acidified with HCl; HCl digestion; analysis by HVAAS.","EMS Migration"
"Cadmium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CD-D","7440-43-9","Concentration","mg/L",TRUE,"CD-D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Lead Dissolved (fl. conc.)","Metals - Dissolved; EMS code: PB-D",NA,"Concentration","mg/L",TRUE,"PB-D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Selenium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: SE-D","7782-49-2","Concentration","mg/L",TRUE,"SE-D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Zinc Dissolved (fl. conc.)","Metals - Dissolved; EMS code: ZN-D","7440-66-6","Concentration","mg/L",TRUE,"ZN-D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Chromium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CR-D","7440-47-3","Concentration","mg/L",TRUE,"CR-D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Arsenic Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AS-D","7440-38-2","Concentration","mg/L",TRUE,"AS-D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Copper Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CU-D","7440-50-8","Concentration","mg/L",TRUE,"CU-D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Antimony Dissolved (fl. conc.)","Metals - Dissolved; EMS code: SB-D","7440-36-0","Concentration","mg/L",TRUE,"SB-D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Iron Dissolved (fl. conc.)","Metals - Dissolved; EMS code: FE-D",NA,"Concentration","mg/L",TRUE,"FE-D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Yttrium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: Y--D","7440-65-5","Concentration","mg/L",TRUE,"Y--D","CHEMICAL","NUMERIC","X356","LF:LA:HNO3:ICP","Samples are lab-filtered (0.45 um); lab-acidified with HNO3; analysis by ICP/AES.","EMS Migration"
"Cadmium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CD-D","7440-43-9","Concentration","mg/L",TRUE,"CD-D","CHEMICAL","NUMERIC","X357","LF:LA:HNO3:GFAA","Samples are lab-filtered (0.45 um) and lab-acidified with HNO3; analysis by GFAA.","EMS Migration"
"Chromium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CR-D","7440-47-3","Concentration","mg/L",TRUE,"CR-D","CHEMICAL","NUMERIC","X357","LF:LA:HNO3:GFAA","Samples are lab-filtered (0.45 um) and lab-acidified with HNO3; analysis by GFAA.","EMS Migration"
"Silver Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AG-D","7440-22-4","Concentration","mg/L",TRUE,"AG-D","CHEMICAL","NUMERIC","X357","LF:LA:HNO3:GFAA","Samples are lab-filtered (0.45 um) and lab-acidified with HNO3; analysis by GFAA.","EMS Migration"
"Copper Dissolved (fl. conc.)","Metals - Dissolved; EMS code: CU-D","7440-50-8","Concentration","mg/L",TRUE,"CU-D","CHEMICAL","NUMERIC","X357","LF:LA:HNO3:GFAA","Samples are lab-filtered (0.45 um) and lab-acidified with HNO3; analysis by GFAA.","EMS Migration"
"Molybdenum Dissolved (fl. conc.)","Metals - Dissolved; EMS code: MO-D","7439-98-7","Concentration","mg/L",TRUE,"MO-D","CHEMICAL","NUMERIC","X357","LF:LA:HNO3:GFAA","Samples are lab-filtered (0.45 um) and lab-acidified with HNO3; analysis by GFAA.","EMS Migration"
"Iron Dissolved (fl. conc.)","Metals - Dissolved; EMS code: FE-D",NA,"Concentration","mg/L",TRUE,"FE-D","CHEMICAL","NUMERIC","X357","LF:LA:HNO3:GFAA","Samples are lab-filtered (0.45 um) and lab-acidified with HNO3; analysis by GFAA.","EMS Migration"
"Selenium Dissolved (fl. conc.)","Metals - Dissolved; EMS code: SE-D","7782-49-2","Concentration","mg/L",TRUE,"SE-D","CHEMICAL","NUMERIC","X359","LF:LA:HNO3:HVAAS","Samples are lab-filtered (0.45 um) and lab-acidified (HNO3); analysis by HVAAS.","EMS Migration"
"Arsenic Dissolved (fl. conc.)","Metals - Dissolved; EMS code: AS-D","7440-38-2","Concentration","mg/L",TRUE,"AS-D","CHEMICAL","NUMERIC","X359","LF:LA:HNO3:HVAAS","Samples are lab-filtered (0.45 um) and lab-acidified (HNO3); analysis by HVAAS.","EMS Migration"
"Glyphosate (fl. conc.)","Pesticides; EMS code: G001","1071-83-6","Concentration","mg/L",TRUE,"G001","CHEMICAL","NUMERIC","X365","Derivat:extr:HPLC/UV-VIS","An aliquot of the water sample is reacted with dinitrofluoro-benzene (DNFB) to form derivatives of glyphosate and AMPA.  Interferences are removed from the reaction mixture by extraction with dichloromethane.  A subsequent extraction with iso-butanol removes the derivatives.  The derivatives are then back-extracted into a borax solution in preparation for analysis by high performance liquid chromatography.","EMS Migration"
"AMPA (fl. conc.)","Pesticides; EMS code: A001","77521-29-0","Concentration","mg/L",TRUE,"A001","CHEMICAL","NUMERIC","X365","Derivat:extr:HPLC/UV-VIS","An aliquot of the water sample is reacted with dinitrofluoro-benzene (DNFB) to form derivatives of glyphosate and AMPA.  Interferences are removed from the reaction mixture by extraction with dichloromethane.  A subsequent extraction with iso-butanol removes the derivatives.  The derivatives are then back-extracted into a borax solution in preparation for analysis by high performance liquid chromatography.","EMS Migration"
"Hydrocarbons;Extract (fl. conc.)","Petroleum Hydrocarbons; EMS code: H-TE",NA,"Concentration","mg/L",TRUE,"H-TE","CHEMICAL","NUMERIC","X366","Dichlorometh extr:GC/FID","The sample is extracted with dichloromethane in a separatory funnel.  The extract is dried, then reduced to a known volume.  The final extract is then analyzed with capillary column gas chromatography with flame ionization detection.  The results are determined by obtaining the total area under the chromato-graphic curve between n-C10 and n-C30, then quantifying by external calibration.","EMS Migration"
"Hydrocarbons;Extract (fl. conc.)","Petroleum Hydrocarbons; EMS code: H-TE",NA,"Concentration","mg/L",TRUE,"H-TE","CHEMICAL","NUMERIC","X368","Freon extract:IR absorb.","Freon extract,IR absorb.","EMS Migration"
"Total Petroleum Hydrocarbons (TPH) (fl. conc.)","Petroleum Hydrocarbons; EMS code: H-TP",NA,"Concentration","mg/L",TRUE,"H-TP","CHEMICAL","NUMERIC","X370","Freon extr:silicic ac:IR","The sample is extracted with 1,1,2-trichloro-1,2,2-trifluoroethane in a separatory funnel.  The extract is diluted to a known volume, and analyzed with an infrared spectro-photometer.  The result is calculated by comparison of the absorbance of the sample extract to that of a prepared standard mixture.  When a silica gel clean-up step is incorporated into this procedure, it is referred to as Total Petroleum Hydrocarbons (TPH) rather than as Total Extractable Hydrocarbon.","EMS Migration"
"Oil & Grease (fl. conc.)","Petroleum Hydrocarbons; EMS code: 0003",NA,"Concentration","mg/L",TRUE,"0003","CHEMICAL","NUMERIC","X372","Comb.Ext.Hexane","Particulates are separated from the sample by filtration and then extracted with hexane using a Soxhlet extractor.  The liquid phase is then extracted with hexane and this extract is subsequently combined with the Soxhlet extract.  The hexane is evaporated from the combined extract and the residue is weighed.","EMS Migration"
"Resin Acids (fl. conc.)","Organics; EMS code: 0128",NA,"Concentration","mg/L",TRUE,"0128","CHEMICAL","NUMERIC","X380","DCM extr:diazo deriv:Florisil:GC/FID:sum","The water sample is acidified and extracted with dichloro-methane. The raw extract is concentrated and drivatized with diazomethane to produce the corresponding methyl ester derivatives. (Suitable substitute derivatives may be produced by other available techniques.) If required, the extracts are cleaned up by Florisil column chromatography. The derivatives are analyzed by gas chromatography with flame ionization detection. Resin acid components summed.","EMS Migration"
